"id","company_code","property_dwid","status_code","sale_price","project_dwid","released_on","sold_on","sold_psf","property_size_sqft","price_psf","building_dwid","unit_type","unit_type_code","unit_group_dwid","stack_text","floor_text","list_price","bedroom_count","area_sqft_sqm_text","currency_symbol","address_unit_text","bathroom_count","country_text","data_source","block_text","project_text","updated_by","updated_on","created_by","created_on","floor_plan_url","estimated_monthly_rent","location_district_text","est_rental_yield","virtual_tour_url","model_3d_url","property_size_sqm","price_psm","source_dwid","sold_psm","transacted_price","floor_plan_2d_url","price1_label","price2_label","price2_psf","price2_psm","price1_psf","price1_psm","transacted_psf","transacted_psm","location_region_text","price1","price2","unit_count","last_activity_text"
546035,rea,"5530714b5d948934e4e4b237161cbca6",AVAILABLE,1481000,f7fea87e1a59592e817cd84c2b416bb4,,,,980,,"9cff42494f1e706fe06a7701f72bdb49","3 Bedroom Premium",A6P,d7904b5edda89869d7d20d47e3b89c97,"34","10",,3,"980/91",$,#10-34,2,Singapore,,BLK 19,Lumina Grand,,2024-01-24 15:44:11.847,,2024-01-02 11:57:15.263,https://rea-asset.s3.ap-southeast-1.amazonaws.com/flp/2d/1b28c3ab98f8e847f0d00af96f260561.jpg,,D23,,,,91,,,,,,NPS Price,DPS Price,,,,,,,OCR,1481000,1526000,1,
546036,rea,"6138512b7b74226f37270331bedf943e",AVAILABLE,1420000,f7fea87e1a59592e817cd84c2b416bb4,,,,936,,"9cff42494f1e706fe06a7701f72bdb49","3 Bedroom",A1,d8fa1f362457e733e6396d73e37f11e0,"36","10",,3,"936/87",$,#10-36,2,Singapore,,BLK 19,Lumina Grand,,2024-01-24 15:44:11.861,,2024-01-02 11:57:15.263,https://rea-asset.s3.ap-southeast-1.amazonaws.com/flp/2d/e652c1fa3c5dd29cf0b0d94942f23e51.jpg,,D23,,,,87,,,,,,NPS Price,DPS Price,,,,,,,OCR,1420000,1463000,1,
546025,rea,a03ee36f50a21f72277a77aead6da06e,AVAILABLE,1403000,f7fea87e1a59592e817cd84c2b416bb4,,,,936,,ef70dde149f9d4211a5e0a8264f1e087,"3 Bedroom",A2,"86bce6146c3e267728e2e7e238ef159c","14","12",,3,"936/87",$,#12-14,2,Singapore,,BLK 9,Lumina Grand,,2024-01-24 15:44:12.369,,2024-01-02 11:57:15.263,https://rea-asset.s3.ap-southeast-1.amazonaws.com/flp/2d/92ca7d517315471841fe62a39312462c.jpg,,D23,,,,87,,,,,,NPS Price,DPS Price,,,,,,,OCR,1403000,1446000,1,
546023,rea,a8d27538babccabb8a7c5890a8e33681,AVAILABLE,2302000,f7fea87e1a59592e817cd84c2b416bb4,,,,1711,,"7208296d2b62bd44d08690e905d7f1ac","5 Bedroom",C1-PH,"937ddafe5db0f53467f55b2cc638cbc3","11","13",,5,"1711/159",$,#13-11,3,Singapore,,BLK 7,Lumina Grand,,2024-01-24 15:44:12.681,,2024-01-02 11:57:15.263,https://rea-asset.s3.ap-southeast-1.amazonaws.com/flp/2d/2925f98c022a98b563bb989cd5639291.jpg,,D23,,,,159,,,,,,NPS Price,DPS Price,,,,,,,OCR,2302000,2372000,1,
546019,rea,"62ec074ed657075ea464a140be20638a",AVAILABLE,1514000,f7fea87e1a59592e817cd84c2b416bb4,,,,1119,,ef70dde149f9d4211a5e0a8264f1e087,"3 Bedroom Premium",A5P-PH,b1fa20d5fe12c8353665a45f61e06d9f,"13","13",,3,"1119/104",$,#13-13,2,Singapore,,BLK 9,Lumina Grand,,2024-01-24 15:44:12.694,,2024-01-02 11:57:15.263,https://rea-asset.s3.ap-southeast-1.amazonaws.com/flp/2d/1a230fd0810cee17522645014f30d503.jpg,,D23,,,,104,,,,,,NPS Price,DPS Price,,,,,,,OCR,1514000,1560000,1,
546029,rea,"3e4a45f0609a99de6b78f98e622969a1",AVAILABLE,1549000,f7fea87e1a59592e817cd84c2b416bb4,,,,1119,,"9cff42494f1e706fe06a7701f72bdb49","3 Bedroom Premium",A5P-PH,b1fa20d5fe12c8353665a45f61e06d9f,"33","13",,3,"1119/104",$,#13-33,2,Singapore,,BLK 19,Lumina Grand,,2024-01-24 15:44:12.894,,2024-01-02 11:57:15.263,https://rea-asset.s3.ap-southeast-1.amazonaws.com/flp/2d/1a230fd0810cee17522645014f30d503.jpg,,D23,,,,104,,,,,,NPS Price,DPS Price,,,,,,,OCR,1549000,1596000,1,
546021,rea,fae3261528ac320f3d54a20cefbc657a,AVAILABLE,1406000,f7fea87e1a59592e817cd84c2b416bb4,,,,980,,e9736d6e60649faf9317f5d973f173e3,"3 Bedroom Premium",A6P,d7904b5edda89869d7d20d47e3b89c97,"02","03",,3,"980/91",$,#03-02,2,Singapore,,BLK 1,Lumina Grand,,2024-01-24 15:44:09.638,,2024-01-02 11:57:15.263,https://rea-asset.s3.ap-southeast-1.amazonaws.com/flp/2d/1b28c3ab98f8e847f0d00af96f260561.jpg,,D23,,,,91,,,,,,NPS Price,DPS Price,,,,,,,OCR,1406000,1449000,1,
546033,rea,"1a10bcbd9553a12e8801735569a7d00f",AVAILABLE,1346000,f7fea87e1a59592e817cd84c2b416bb4,,,,936,,ef70dde149f9d4211a5e0a8264f1e087,"3 Bedroom",A2,"86bce6146c3e267728e2e7e238ef159c","14","03",,3,"936/87",$,#03-14,2,Singapore,,BLK 9,Lumina Grand,,2024-01-24 15:44:09.723,,2024-01-02 11:57:15.263,https://rea-asset.s3.ap-southeast-1.amazonaws.com/flp/2d/92ca7d517315471841fe62a39312462c.jpg,,D23,,,,87,,,,,,NPS Price,DPS Price,,,,,,,OCR,1346000,1387000,1,
546052,rea,"31c1195e7bc2afdcef264ce73150c207",AVAILABLE,1440000,f7fea87e1a59592e817cd84c2b416bb4,,,,969,,e9736d6e60649faf9317f5d973f173e3,"3 Bedroom Premium",A3P,"563bcff4ff6d730c16e036b2d0144e5e","04","06",,3,"969/90",$,#06-04,2,Singapore,,BLK 1,Lumina Grand,,2024-01-24 15:44:10.487,,2024-01-02 11:57:15.263,https://rea-asset.s3.ap-southeast-1.amazonaws.com/flp/2d/328fae007abdb89c3e920d26df207f56.jpg,,D23,,,,90,,,,,,NPS Price,DPS Price,,,,,,,OCR,1440000,1484000,1,
546045,rea,cfd5272a46605cb66955f785d4b59927,AVAILABLE,2171000,f7fea87e1a59592e817cd84c2b416bb4,,,,1496,,"7208296d2b62bd44d08690e905d7f1ac","5 Bedroom",C2,"9909b20e0bfb4787e3a5761c61390563","12","06",,5,"1496/139",$,#06-12,3,Singapore,,BLK 7,Lumina Grand,,2024-01-24 15:44:10.543,,2024-01-02 11:57:15.263,https://rea-asset.s3.ap-southeast-1.amazonaws.com/flp/2d/5cb133598468795f4da74ffca5176094.jpg,,D23,,,,139,,,,,,NPS Price,DPS Price,,,,,,,OCR,2171000,2237000,1,
